Mes,SemanaDelMes,DiaDeLaSemana,MarcaVehiculo,AreaAccidente,DiaReclamo,MesReclamo,SemanaReclamo,Genero,EstadoCivil,Edad,Culpa,TipoPoliza,CategoriaVehiculo,PrecioVehiculo,FraudeDetectado,NumeroPoliza,NumeroRepresentante,Deducible,CalificacionConductor,DiasPolizaAccidente,DiasPolizaReclamo,NumeroReclamosAnteriores,EdadVehiculo,EdadAsegurado,ReportePolicial,TestigoPresente,TipoAgente,NumeroSuplementos,CambioDireccionReclamo,NumeroVehiculos,Año,PolizaBase
Mayo,1.0,Miércoles,Chevrolet,Urbano,Monday,May,2.0,Femenino,Soltero,27.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,60,4,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Noviembre,1.0,Lunes,Toyota,Urbano,Monday,Nov,3.0,Masculino,Soltero,30.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,61,5,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Septiembre,2.0,Martes,Pontiac,Urbano,Friday,Jan,4.0,Masculino,Casado,49.0,Policy Holder,Utility - Collision,Utility,40000 to 59000,0,62,6,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,Collision
Diciembre,4.0,Viernes,Mazda,Urbano,Monday,Jan,2.0,Masculino,Soltero,31.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,66,6,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Agosto,4.0,Jueves,Mazda,Urbano,Monday,Aug,5.0,Masculino,Casado,65.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,68,12,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994.0,Liability
Enero,1.0,Domingo,Toyota,Urbano,Tuesday,Jan,1.0,Masculino,Casado,64.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,69,5,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994.0,Collision
Enero,1.0,Domingo,Honda,Urbano,Wednesday,Jan,1.0,Masculino,Soltero,44.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,71,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994.0,Collision
Septiembre,4.0,Jueves,Chevrolet,Urbano,Monday,Jan,5.0,Femenino,Soltero,28.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,73,5,400,3,15 to 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Enero,1.0,Lunes,Honda,Urbano,Tuesday,Jan,1.0,Masculino,Casado,47.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,74,7,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Abril,5.0,Sábado,Mazda,Urbano,Tuesday,May,1.0,Masculino,Casado,60.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,75,12,400,3,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Agosto,1.0,Sábado,Ford,Urbano,Wednesday,Aug,4.0,Masculino,Casado,33.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,76,9,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Diciembre,2.0,Viernes,Chevrolet,Urbano,Thursday,Apr,3.0,Masculino,Casado,36.0,Third Party,Sedan - All Perils,Sedan,more than 69000,0,83,13,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,3 to 4,1994.0,All Perils
Diciembre,2.0,Martes,Chevrolet,Rural,Tuesday,Mar,1.0,Masculino,Casado,27.0,Policy Holder,Utility - Liability,Utility,more than 69000,0,86,4,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,Liability
Mayo,4.0,Martes,Toyota,Urbano,Wednesday,May,4.0,Masculino,Soltero,27.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,87,14,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Noviembre,2.0,Jueves,Honda,Urbano,Friday,Jan,3.0,Masculino,Soltero,34.0,Policy Holder,Sport - Collision,Sport,more than 69000,1,95,7,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994.0,Collision
Mayo,2.0,Martes,Honda,Urbano,Thursday,May,2.0,Masculino,Casado,61.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,96,15,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Noviembre,3.0,Lunes,Pontiac,Urbano,Wednesday,Jan,4.0,Masculino,Casado,41.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,99,12,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Noviembre,3.0,Martes,Chevrolet,Urbano,Wednesday,Jan,2.0,Masculino,Casado,31.0,Policy Holder,Utility - All Perils,Utility,more than 69000,1,101,2,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,All Perils
Enero,1.0,Martes,Pontiac,Urbano,Thursday,Jan,1.0,Masculino,Soltero,31.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,105,12,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,All Perils
Diciembre,3.0,Viernes,Dodge,Urbano,Saturday,Dec,3.0,Masculino,Casado,28.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,106,5,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994.0,Liability
Agosto,1.0,Lunes,Mazda,Urbano,Thursday,Aug,1.0,Masculino,Casado,28.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,107,11,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Noviembre,4.0,Jueves,Accura,Rural,Tuesday,Jan,2.0,Masculino,Casado,56.0,Policy Holder,Utility - All Perils,Utility,more than 69000,1,114,10,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Diciembre,4.0,Lunes,Chevrolet,Urbano,Wednesday,Jan,1.0,Masculino,Casado,50.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,115,2,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Enero,4.0,Sábado,Dodge,Urbano,Monday,Mar,1.0,Masculino,Casado,53.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,127,15,400,2,more than 30,more than 30,none,more than 7,41 to 50,Sí,No,External,none,4 to 8 years,2 vehicles,1994.0,Collision
Noviembre,4.0,Lunes,Honda,Urbano,Tuesday,Nov,4.0,Masculino,Soltero,29.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,130,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994.0,Collision
Septiembre,3.0,Sábado,Mazda,Urbano,Tuesday,Sep,3.0,Masculino,Soltero,33.0,Third Party,Sedan - Liability,Sport,30000 to 39000,0,147,10,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Liability
Enero,2.0,Martes,Pontiac,Urbano,Tuesday,Jan,2.0,Masculino,Soltero,23.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,152,8,400,4,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994.0,Liability
Enero,2.0,Martes,Pontiac,Urbano,Friday,Jan,2.0,Masculino,Soltero,31.0,Third Party,Sedan - Liability,Sport,30000 to 39000,0,153,10,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,Liability
Enero,4.0,Martes,Honda,Urbano,Wednesday,Jan,4.0,Masculino,Soltero,0.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,162,3,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994.0,Liability
Mayo,4.0,Viernes,Nisson,Rural,Wednesday,Jul,2.0,Masculino,Casado,42.0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,169,6,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994.0,All Perils
Febrero,2.0,Lunes,VW,Urbano,Tuesday,Feb,4.0,Masculino,Casado,36.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,173,2,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Collision
Enero,3.0,Lunes,Ford,Urbano,Tuesday,Jan,3.0,Masculino,Casado,74.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,181,8,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994.0,All Perils
Junio,3.0,Martes,Pontiac,Urbano,Thursday,Jul,4.0,Masculino,Casado,50.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,182,3,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,Collision
Junio,2.0,Jueves,Mazda,Urbano,Friday,Jun,2.0,Masculino,Soltero,27.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,183,3,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,1 year,1 vehicle,1994.0,All Perils
Enero,1.0,Lunes,Honda,Urbano,Wednesday,Jan,2.0,Masculino,Soltero,0.0,Third Party,Sedan - Liability,Sport,more than 69000,0,187,8,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994.0,Liability
Diciembre,5.0,Jueves,Pontiac,Urbano,Friday,Jan,2.0,Masculino,Casado,54.0,Third Party,Sedan - Liability,Sport,20000 to 29000,0,188,10,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994.0,Liability
Diciembre,2.0,Lunes,Mazda,Urbano,Monday,Jan,1.0,Masculino,Casado,43.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,190,10,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994.0,All Perils
Diciembre,3.0,Martes,Chevrolet,Urbano,Monday,Jan,2.0,Masculino,Casado,26.0,Policy Holder,Utility - All Perils,Utility,more than 69000,1,193,14,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,All Perils
Diciembre,3.0,Jueves,Honda,Urbano,Monday,Jan,1.0,Masculino,Casado,39.0,Policy Holder,Sport - Collision,Sport,more than 69000,1,195,13,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Collision
Agosto,1.0,Miércoles,Mazda,Urbano,Thursday,Sep,2.0,Masculino,Casado,36.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,198,1,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Diciembre,4.0,Sábado,Pontiac,Urbano,Monday,Jan,2.0,Masculino,Casado,29.0,Third Party,Sedan - All Perils,Sedan,less than 20000,0,200,16,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,All Perils
Diciembre,4.0,Lunes,Honda,Rural,Friday,Jan,2.0,Masculino,Soltero,0.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,203,14,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994.0,Collision
Septiembre,1.0,Lunes,Honda,Rural,Tuesday,Sep,1.0,Masculino,Casado,41.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,204,6,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Liability
Enero,5.0,Martes,Mazda,Urbano,Tuesday,Jan,5.0,Masculino,Casado,69.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,218,3,700,4,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994.0,Liability
Enero,5.0,Martes,Honda,Urbano,Thursday,Feb,2.0,Masculino,Casado,67.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,219,11,400,1,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Junio,4.0,Miércoles,Pontiac,Urbano,Friday,Jun,4.0,Masculino,Casado,38.0,Policy Holder,Sedan - Liability,Sport,less than 20000,0,222,2,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Liability
Enero,2.0,Lunes,Toyota,Urbano,Wednesday,Jan,2.0,Masculino,Casado,32.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,223,13,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Enero,2.0,Lunes,Toyota,Urbano,Tuesday,Jan,2.0,Masculino,Casado,57.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,225,4,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Octubre,3.0,Martes,VW,Urbano,Tuesday,Oct,5.0,Femenino,Soltero,30.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,228,14,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994.0,Collision
Octubre,4.0,Miércoles,Pontiac,Urbano,Thursday,Oct,4.0,Masculino,Casado,65.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,230,14,400,4,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994.0,Liability
Abril,2.0,Viernes,Mazda,Urbano,Friday,Apr,2.0,Masculino,Casado,44.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,232,10,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994.0,All Perils
Marzo,5.0,Martes,VW,Urbano,Tuesday,Apr,1.0,Masculino,Casado,32.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,234,5,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Marzo,4.0,Jueves,Mercury,Urbano,Friday,Mar,4.0,Masculino,Casado,29.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,235,16,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Diciembre,4.0,Jueves,Chevrolet,Urbano,Tuesday,Jan,2.0,Masculino,Casado,26.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,236,16,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994.0,All Perils
Enero,3.0,Domingo,Chevrolet,Urbano,Tuesday,Jan,3.0,Masculino,Soltero,32.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,241,16,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,Liability
Febrero,3.0,Sábado,Pontiac,Urbano,Monday,Mar,4.0,Masculino,Soltero,31.0,Third Party,Sedan - Collision,Sedan,less than 20000,0,245,9,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994.0,Collision
Febrero,3.0,Jueves,Accura,Rural,Friday,Feb,3.0,Masculino,Casado,42.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,248,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Liability
Febrero,3.0,Viernes,Toyota,Urbano,Monday,Feb,3.0,Masculino,Soltero,32.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,249,16,700,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Diciembre,2.0,Domingo,Honda,Urbano,Wednesday,Feb,1.0,Masculino,Soltero,0.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,281,11,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994.0,All Perils
Diciembre,4.0,Martes,Pontiac,Urbano,Thursday,Jan,2.0,Masculino,Casado,38.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,284,4,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994.0,Liability
Diciembre,5.0,Martes,Toyota,Urbano,Tuesday,Jan,2.0,Masculino,Casado,28.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,285,7,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,All Perils
Enero,1.0,Martes,Honda,Urbano,Friday,Jan,2.0,Masculino,Soltero,0.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,288,11,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,3 to 4,1994.0,Liability
Diciembre,5.0,Viernes,Honda,Urbano,Tuesday,Jan,1.0,Femenino,Soltero,21.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,302,2,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994.0,Collision
Diciembre,3.0,Martes,Pontiac,Urbano,Monday,Jan,5.0,Masculino,Soltero,33.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,303,9,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Abril,1.0,Martes,Honda,Urbano,Tuesday,Apr,1.0,Masculino,Casado,31.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,307,2,500,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1994.0,Liability
Abril,1.0,Lunes,Pontiac,Rural,Monday,Apr,1.0,Masculino,Casado,47.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,308,5,400,4,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994.0,Liability
Octubre,1.0,Lunes,Honda,Urbano,Monday,Oct,1.0,Masculino,Casado,35.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,311,10,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Liability
Marzo,5.0,Miércoles,Pontiac,Rural,Tuesday,Apr,1.0,Femenino,Casado,45.0,Third Party,Sedan - Liability,Sport,20000 to 29000,0,315,4,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Liability
Mayo,4.0,Jueves,Accura,Urbano,Monday,Jun,2.0,Masculino,Soltero,50.0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,317,12,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994.0,All Perils
Marzo,3.0,Miércoles,Ford,Urbano,Thursday,Mar,3.0,Masculino,Casado,49.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,321,2,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Marzo,1.0,Miércoles,Saturn,Urbano,Monday,Mar,1.0,Masculino,Casado,53.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,322,4,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994.0,All Perils
Abril,3.0,Jueves,Chevrolet,Urbano,Thursday,Apr,3.0,Masculino,Casado,32.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,323,15,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994.0,Collision
Marzo,3.0,Jueves,Chevrolet,Urbano,Friday,Mar,3.0,Masculino,Casado,31.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,330,3,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,All Perils
Noviembre,1.0,Viernes,Toyota,Urbano,Monday,Nov,1.0,Masculino,Casado,43.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,331,5,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Liability
Noviembre,1.0,Viernes,Pontiac,Urbano,Tuesday,Nov,2.0,Femenino,Casado,30.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,332,1,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Collision
Junio,4.0,Miércoles,Toyota,Urbano,Thursday,Jun,4.0,Masculino,Casado,60.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,333,8,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994.0,Collision
Agosto,2.0,Sábado,Honda,Urbano,Wednesday,Aug,3.0,Masculino,Soltero,25.0,Policy Holder,Sport - Collision,Sport,more than 69000,0,337,9,400,1,more than 30,more than 30,none,6 years,26 to 30,No,No,External,more than 5,4 to 8 years,2 vehicles,1994.0,Collision
Abril,3.0,Lunes,Toyota,Urbano,Monday,Apr,3.0,Masculino,Casado,38.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,338,11,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Liability
Febrero,4.0,Miércoles,Pontiac,Urbano,Tuesday,Mar,1.0,Masculino,Casado,56.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,340,6,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994.0,All Perils
Febrero,4.0,Martes,Pontiac,Urbano,Friday,Feb,4.0,Masculino,Casado,47.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,341,3,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Septiembre,3.0,Lunes,Pontiac,Urbano,Thursday,Sep,4.0,Masculino,Soltero,30.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,346,4,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Marzo,3.0,Viernes,Chevrolet,Rural,Wednesday,Mar,4.0,Masculino,Casado,80.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,348,5,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994.0,All Perils
